country	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 
Austria	105.20 	115.60 	130.12 	132.96 	143.90 	136.42 	139.78 	141.98 	145.34 	140.13 	142.21 	148.77 
Belgium	60.34 	59.26 	61.57 	61.48 	60.50 	64.31 	62.38 	66.76 	70.16 	69.92 	71.93 	75.35 
Bulgaria	28.20 	83.30 	71.10 	81.70 	81.50 	83.40 	85.80 	86.70 	77.56 	73.03 	72.33 	68.93 
Croatia	6.00 	6.00 	- 	- 	- 	23.82 	26.47 	28.64 	29.92 	25.93	28.24 	- 
Cyprus	- 	- 	- 	- 	- 	7.99 	12.54 	11.75 	11.41 	10.56 	14.10 	14.48 
Czech Republic	116.10 	121.30 	120.10 	131.10 	122.96 	129.00 	120.70 	118.50 	115.78 	115.37 	113.14 	115.16 
Denmark	293.00 	306.00 	317.90 	320.20 	326.10 	335.40 	355.40 	335.50 	350.60 	319.20 	321.00 	292.30 
Estonia	19.80 	20.00 	22.00 	22.30 	23.90 	22.30 	27.50 	32.80 	31.80 	35.70 	37.12 	38.40 
Finland	92.50 	97.90 	102.86 	103.60 	102.70 	98.23 	96.70 	100.08 	101.94 	106.80 	104.52 	108.58 
France	1678.00 	1725.90 	1772.44 	1794.24 	1805.65 	1837.86 	1827.52 	1846.18 	1879.99 	1887.32 	1858.79 	1925.48 
Germany	1594.05 	1686.23 	1764.39 	1762.09 	1816.41 	1865.39 	1929.64 	1994.68 	1927.39 	1940.75 	1999.02 	2083.26 
Greece	143.30 	142.50 	160.50 	162.10 	146.60 	159.00 	156.00 	153.90 	187.70 	185.70 	195.30 	208.80 
Hungary	- 	- 	- 	155.97 	158.24 	64.14 	78.90 	72.89 	72.31 	74.10 	75.35 	72.51 
Iceland	- 	- 	3.90 	4.11 	- 	- 	4.08 	- 	- 	- 	- 	- 
Ireland	101.80 	98.50 	122.80 	115.90 	112.00 	118.03 	- 	- 	- 	- 	- 	- 
Italy	1023.86 	1017.23 	1090.60 	1072.76 	1097.37 	1087.21	1155.58 	1154.04 	1149.41 	1161.49 	1177.52 	1177.16 
Latvia	23.00 	20.90 	24.20 	24.30 	28.50 	29.07 	32.45 	32.64 	35.29 	33.98 	29.10 	30.98 
Lithuania	34.50 	40.20 	48.20 	65.30 	54.80 	71.31 	79.11 	101.01 	89.54 	105.74 	92.22 	95.27 
Luxembourg	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 
Malta	- 	- 	2.30 	2.49 	2.37 	2.50 	2.60 	2.82 	2.96 	2.81 	- 	- 
Netherlands	659.00 	684.00 	651.79 	639.14 	657.91 	675.19 	672.18 	714.02 	732.29 	723.52 	713.91 	752.64 
Poland	438.20 	427.50 	455.20 	484.50 	472.20	513.10 	535.67 	579.95 	594.45 	594.33 	633.63 	666.59 
Portugal	63.60 	66.80 	67.49 	68.01 	66.35 	66.94 	66.28 	66.04 	69.12 	66.98 	65.07 	68.88 
Romania	31.00 	27.80 	30.50 	- 	48.10 	57.70 	65.55 	70.82 	68.70 	70.27 	69.48 	63.96 
Slovakia	51.80 	51.30 	54.90 	42.32 	38.60 	35.56 	42.73 	47.46 	43.81 	37.52 	34.13 	28.87 
Slovenia	20.50 	21.50 	21.90	22.90	24.41 	23.60 	21.71 	20.07 	18.36 	19.15 	18.08 	18.34 
Spain	257.80 	249.29 	259.86 	283.34 	291.97 	296.26 	301.73 	307.89 	308.82 	310.50 	306.30 	301.90 
Sweden	128.40 	126.60 	126.61 	128.31 	125.04 	117.80 	118.27 	118.86 	110.10 	114.18 	107.60 	103.14 
Switzerland	- 	- 	- 	- 	- 	- 	- 	- 	157.00 	157.00 	- 	- 
United Kingdom	326.03 	301.90 	353.44 	336.78 	320.96 	329.35 	346.08 	362.22 	339.20 	343.40 	321.70 	337.40 
